ef_base_id,native_pes21_id,physical_source_id,canonical_name,status,source_card_id,stats_source_card_id,portrait_asset_id,face_owner_id,commentary_owner_id
181550,181550,628124,Lasse Legolas,active,181550,181550,181550,,
181554,181554,628127,Emmanuel Danso,active,181554,181554,181554,,
181556,181556,628133,Cyril Edudzi,active,181556,181556,181556,,
181557,181557,628155,Martin Sjølstad,active,181557,181557,181557,,
181561,181561,628157,Luís Martins,active,181561,181561,181561,,
181562,181562,628163,Ayoube Amaimouni E.,active,181562,181562,181562,,
181565,181565,628166,Julio Díaz,active,181565,181565,181565,,
181566,181566,628174,Iker Luque,active,181566,181566,181566,,
181567,181567,628180,Joselillo Gaitán,active,181567,181567,181567,,
181568,181568,628182,Álvaro Jiménez,active,181568,181568,181568,,
181569,181569,628187,Arthur Vignaud,active,181569,181569,181569,,
181570,181570,628190,Noah Nsoki,active,181570,181570,181570,,
181571,181571,628201,Doumbia Koné,active,181571,181571,181571,,
181574,539473,539473,Mattia Pellini,active,181574,181574,539473,,539473
181575,181575,628203,George Wynne,active,181575,181575,181575,,
181576,181576,628205,William Burrell,active,181576,181576,181576,,
181577,181577,628207,Alfie McNally,active,181577,181577,181577,,
181578,181578,628213,TJ Carroll,active,181578,181578,181578,,
181582,181582,628215,Issa Traoré,active,181582,181582,181582,,
181583,181583,628225,Vegard Erlien,active,181583,181583,181583,,
181584,181584,628231,Angel Yondjo,active,181584,181584,181584,,
181585,181585,628237,Saad Boussadia,active,181585,181585,181585,,
181586,181586,628239,Noah Dupont,active,181586,181586,181586,,
181587,181587,628244,Braiden Graham,active,181587,181587,181587,,
181593,181593,628251,Mathis Mout,active,181593,181593,181593,,
181594,181594,628254,Devlan Moses,active,181594,181594,181594,,
181595,181595,628256,Ignacio Sosa,active,181595,181595,181595,,
181600,181600,628258,Hather Cuesta,active,181600,181600,181600,,
181601,181601,628260,Fabricio Sanguinetti,active,181601,181601,181601,,
181602,181602,628262,Prakiattichai S.,active,181602,181602,181602,,
181645,181645,628264,Albion Rrahmani,active,181645,181645,181645,,
181661,181661,628267,Filippo D'Emilio,active,181661,181661,181661,,
181662,181662,628269,Adrián Riquelme,active,181662,181662,181662,,
181664,181664,628270,Wuttikai Sritong,active,181664,181664,181664,,
181665,181665,628277,Mauro Lenaerts,active,181665,181665,181665,,
181666,181666,628280,Robin Thiland-Herard,active,181666,181666,181666,,
181667,181667,628281,K. Kamdem Kamgaing,active,181667,181667,181667,,
181668,181668,628296,Haruto Fujii,active,181668,181668,181668,,
181669,181669,628308,Chibuike Nwaiwu,active,181669,52900038624677,181669,,
181670,181670,628309,Ousmane Diabate,active,181670,181670,181670,,
181673,181673,628317,Tristan Panduro,active,181673,181673,181673,,
181679,181679,628342,Miguel Pernía,active,181679,181679,181679,,
181680,181680,628379,Tidiane Diarrassouba,active,181680,181680,181680,,
181681,181681,628381,Ömer Akdağ,active,181681,181681,181681,,
181682,181682,628383,A. Kader Moussa Kone,active,181682,181682,181682,,
181683,181683,628385,Ahmed Traore,active,181683,181683,181683,,
181692,181692,628389,Ali Pağda,active,181692,181692,181692,,
181693,181693,628390,Futa Tokumura,active,181693,181693,181693,,
181694,181694,628391,Tanakon Pinkaew,active,181694,181694,181694,,
181695,181695,628393,Wathanyu Nairatsami,active,181695,181695,181695,,
181696,181696,628402,Lucas Villalba,active,181696,181696,181696,,
181699,181699,628412,Arthur Moura,active,181699,181699,181699,,
181701,181701,628420,Matheus dos Santos,active,181701,181701,181701,,
181702,181702,628423,Daniel Semedo,active,181702,181702,181702,,
181703,181703,628447,Noah Le Gal,active,181703,181703,181703,,
181704,181704,628454,Enzo Somon,active,181704,181704,181704,,
181705,181705,628461,Daniel Akinleye,active,181705,181705,181705,,
181706,181706,628464,Chanasorn Kaewyos,active,181706,181706,181706,,
181707,181707,628473,Alex Tamm,active,181707,181707,181707,,
181717,181717,628481,Sergio Esteban,active,181717,181717,181717,,
181718,181718,628489,Manex Lozano,active,181718,181718,181718,,
181719,181719,628492,Ejike Opara,active,181719,181719,181719,,
181720,181720,628504,Wisdom Acquah,active,181720,181720,181720,,
181721,181721,628506,Briar Bateman,active,181721,181721,181721,,
181722,181722,628514,Victor Gidado,active,181722,181722,181722,,
181723,181723,628529,Karamba Gassama,active,181723,181723,181723,,
181724,181724,628538,Pepê Fermino,active,181724,181724,181724,,
181745,181745,628546,Zakarya Khaldi,active,181745,181745,181745,,
181746,181746,628547,Erawan Garnier,active,181746,181746,181746,,
181747,181747,628548,Kayyum Alabi,active,181747,181747,181747,,
181748,181748,628559,Louis Reynaud,active,181748,181748,181748,,
181749,539478,539478,Oskar Pietuszewski,active,181749,181749,539478,,539478
181750,181750,628565,Malik Olayiwola,active,181750,181750,181750,,
181751,181751,628566,Aruto Higuchi,active,181751,181751,181751,,
181754,181754,628570,Luka Didulica,active,181754,181754,181754,,
181755,181755,628571,Yuki Yoshihara,active,181755,181755,181755,,
181756,181756,628577,Ginjiro Ikegaya,active,181756,181756,181756,,
181757,181757,628580,Harumu Kubo,active,181757,181757,181757,,
181758,181758,628583,Sota Ito,active,181758,181758,181758,,
181759,181759,628585,David Aizawa,active,181759,181759,181759,,
181760,181760,628595,Keigo Suzuki,active,181760,181760,181760,,
181761,181761,628598,Um Joo-Young,active,181761,181761,181761,,
181770,181770,628599,Nicolò Ballabio,active,181770,181770,181770,,
181771,181771,628601,James Kay,active,181771,181771,181771,,
181772,181772,628607,Ryuki Osa,active,181772,181772,181772,,
181774,181774,628612,Sota Ofuji,active,181774,181774,181774,,
181798,181798,628613,Shota Yamashita,active,181798,181798,181798,,
181799,181799,628623,Kishin Shimatani,active,181799,181799,181799,,
181800,181800,628625,Koki Ando,active,181800,106775839950376,181800,,
181806,181806,628629,Timo Schreuder,active,181806,181806,181806,,
181807,181807,628632,Arman Nahany,active,181807,181807,181807,,
181810,181810,628635,Ousmane Sow,active,181810,181810,181810,,
181811,181811,628637,Martín Suárez,active,181811,181811,181811,,
181812,539479,539479,Mussa Kaba,active,181812,181812,539479,,539479
181824,181824,628653,Dilan Villarreal,active,181824,181824,181824,,
181840,181840,628657,Harley Price,active,181840,181840,181840,,
181843,181843,628659,Marko Šarić,active,181843,181843,181843,,
181844,181844,628660,Danuphon Buppha,active,181844,181844,181844,,
